year,Personal Saving ,Personal Income,WAR
1935,2,60,0
1936,4,69,0
1937,4,74,0
1938,1,68,0
1939,3,73,0
1940,4,78,0
1941,11,96,1
1942,28,123,1
1943,33,151,1
1944,37,165,1
1945,30,171,1
1946,15,179,0
1947,7,191,0
1948,13,210,0
1949,9,207,0
1950,13,279,0
1951,18,257,0
1952,19,273,0
1953,20,288,0
1954,19,290,0
