year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2018,1,2,vt,US,24264,15574,13796,11782
2018,1,2,wa,US,426709,232312,213252,178750
2018,1,2,wi,US,322131,202877,193859,164056
2018,1,2,wv,US,81974,55283,51738,44423
2018,1,2,wy,US,27619,16669,15270,12740
2018,1,3,ALL,"",34037413,12187082,13933367,9209031
2018,1,3,ALL_CA,CA,4,2,4,2
2018,1,3,ALL_US,US,34037409,12187080,13933363,9209029
2018,1,3,ak,US,43185,18246,18413,13496
2018,1,3,al,US,620429,228247,278396,180669
2018,1,3,ar,US,344884,125445,152354,97267
2018,1,3,as,US,53,33,45,31
2018,1,3,az,US,633226,229421,253754,172228
2018,1,3,bc,CA,2,1,2,1
2018,1,3,ca,US,3826649,1284327,1370994,938393
2018,1,3,co,US,563015,199307,206818,140915
2018,1,3,ct,US,327574,116768,134140,84583
2018,1,3,dc,US,195688,74197,42715,28634
2018,1,3,de,US,96189,37730,39054,25696
2018,1,3,fl,US,3058755,1094137,1130544,758223
2018,1,3,ga,US,1218148,435483,508816,332763
2018,1,3,gu,US,4549,2153,2553,1745
2018,1,3,hi,US,150833,46047,42180,28857
2018,1,3,ia,US,312996,124472,147685,96304
2018,1,3,id,US,132052,50485,58014,38831
2018,1,3,il,US,1183493,458916,503792,339676
2018,1,3,in,US,608332,241759,281595,187062
2018,1,3,ks,US,344292,132308,157970,101988
2018,1,3,ky,US,423575,165410,191738,125109
2018,1,3,la,US,534561,198081,226805,149428
2018,1,3,ma,US,607101,221577,230260,148765
2018,1,3,md,US,639260,240831,256053,167543
2018,1,3,me,US,93751,38053,44197,29461
2018,1,3,mi,US,906398,361470,430848,286055
2018,1,3,mn,US,507306,188651,218790,142863
2018,1,3,mo,US,653580,246875,287004,187437
2018,1,3,mp,US,498,345,494,344
2018,1,3,ms,US,301274,112513,131981,85676
2018,1,3,mt,US,79152,30413,33564,22886
2018,1,3,nc,US,1154033,437224,525124,336092
2018,1,3,nd,US,74806,29321,33052,21685
2018,1,3,ne,US,210715,81402,96127,62893
2018,1,3,nh,US,121778,45237,51996,32783
2018,1,3,nj,US,982115,352027,408265,254390
2018,1,3,nm,US,145214,59406,60540,41793
2018,1,3,nv,US,373421,120317,114103,80118
2018,1,3,ny,US,1947076,706326,731790,478751
2018,1,3,oh,US,1114579,433688,518013,339059
2018,1,3,ok,US,526397,195955,230013,150214
2018,1,3,or,US,336967,122677,132866,91850
2018,1,3,pa,US,1122413,436318,489277,320933
2018,1,3,pr,US,89855,39233,42921,28554
2018,1,3,qc,CA,2,1,2,1
2018,1,3,ri,US,98555,37062,39314,25298
2018,1,3,sc,US,454887,193982,229140,151603
2018,1,3,sd,US,74885,28714,33500,21777
2018,1,3,tn,US,723651,266821,307749,201135
2018,1,3,tx,US,3485137,1222162,1410443,932413
2018,1,3,ut,US,291596,98381,117454,73723
2018,1,3,va,US,879782,321228,364422,232451
2018,1,3,vi,US,456,276,0,0
2018,1,3,vt,US,42686,17196,18125,12065
2018,1,3,wa,US,652969,239787,256756,177237
2018,1,3,wi,US,532206,216932,251073,168492
2018,1,3,wv,US,145790,64228,70858,48129
2018,1,3,wy,US,44642,17751,18876,12663
2018,1,4,ALL,"",30362002,11008427,12498390,8308766
